,Annisha,Conard,Habib,Ivana,Jinna,Joyceann,Katrice,Khaleel,Krystol,Lenell,Liza,Luci,Madina,Martinez,Ranardo,Sandra,Shalia,Shaquala,Umair,Wanisha
79,20.36745955776235,,51.22928047156953,10.666800610775667,34.946750943876395,41.968506582863654,42.93644989367185,16.060741596262403,44.83227031223454,33.817618953673616,22.634697876964623,20.455631865600484,17.775315674007874,22.158517512116145,15.883398933643958,30.653736654068947,32.377244145766966,46.315341958343105,49.61174775226327,
80,23.96297425250218,,51.36658810442008,14.666800610775667,37.946750943876395,43.14352594860014,44.00300681960954,20.138843579342094,45.68639195841807,35.905982261060686,25.97615823095933,24.041266453185248,21.661291852186043,25.55333603655229,19.981372966722063,33.096627328523475,34.62700798575326,47.003278697479686,49.93030726549912,
81,23.96297425250218,,51.36658810442008,14.666800610775667,29.260198992555306,43.14352594860014,44.00300681960954,20.138843579342094,45.68639195841807,35.905982261060686,25.97615823095933,24.041266453185248,12.42546539972856,25.55333603655229,19.981372966722063,33.096627328523475,34.62700798575326,47.003278697479686,49.93030726549912,
82,27.470264203300278,,51.69806688683441,19.25142628211647,32.15359233899288,44.427977312436944,45.18785274586013,24.089312921252905,46.67614999029793,38.02919424233863,29.250139823329075,27.539483102678265,12.42546539972856,28.876318591148937,26.981372966722063,35.5454161048518,36.89844059258613,47.84042241958245,50.42823696762897,
83,15.522766349821834,,51.69806688683441,19.25142628211647,32.15359233899288,44.427977312436944,45.18785274586013,24.089312921252905,46.67614999029793,27.025876835004933,29.250139823329075,27.539483102678265,12.42546539972856,28.876318591148937,14.388312305151445,35.5454161048518,36.89844059258613,38.48772348824086,10.836138051995668,
84,24.522766349821836,,51.37727219336297,22.324085982198877,33.87687006066171,44.86752997536276,45.547933309978625,26.655998894468013,46.880575955699136,29.285440236226425,31.27707713847587,29.745330636459865,16.212022949167917,30.942352258925872,21.388312305151445,36.9139575873939,38.1254750714164,39.54854171403706,14.7889165035205,
85,24.522766349821836,,51.37727219336297,22.324085982198877,24.67862472436685,44.86752997536276,45.547933309978625,26.655998894468013,46.880575955699136,29.285440236226425,31.27707713847587,19.20191444671886,16.212022949167917,30.942352258925872,6.22377850133952,36.9139575873939,38.1254750714164,39.54854171403706,14.7889165035205,
86,27.76849721615507,,51.575654463598994,25.819314849745705,27.906669366956965,45.80461337547821,46.40780709176777,29.659658533054568,47.589226448584895,31.990720733971155,33.75635415087012,19.20191444671886,20.400825804315943,33.45961259515108,13.22377850133952,38.753582549496954,39.827621573644116,41.08920395135934,19.13920814027214,
87,27.76849721615507,,51.575654463598994,25.819314849745705,27.906669366956965,45.80461337547821,46.40780709176777,29.659658533054568,47.589226448584895,31.990720733971155,17.48942734390918,19.20191444671886,20.400825804315943,33.45961259515108,13.22377850133952,38.753582549496954,39.827621573644116,41.08920395135934,19.13920814027214,
88,30.638200131987432,,36.785913951804986,28.910011456145394,30.76070665084767,46.629424062528344,47.16422910067928,32.31494604780279,48.2117019226467,20.180483302693197,21.524546911263815,23.042876273155688,24.105857894190187,35.6840702980557,17.7425272542589,40.37782244922156,43.827621573644116,42.44863661587566,22.987279459551875,
