,Alejandrina,Ashraf,Beau,Carmelo,Didi,Dornell,Gale,Georganna,Janifer,Jolanda,Joshaua,Lasonia,Levina,Marlenne,Nesha,Rashard,Shalandria,Shaylen,Tre,Wilmary
10,54.82222222222223,72.35999999999999,13.328305273966432,72.35999999999999,100.0,9.549091996067645,72.35999999999999,76.03999999999999,72.35999999999999,59.6,57.47222222222223,54.82222222222223,54.82222222222223,54.82222222222223,17.22175759703724,54.82222222222223,54.82222222222223,25.30244047992401,72.35999999999999,72.35999999999999
11,54.82222222222223,72.35999999999999,13.328305273966432,72.35999999999999,100.0,9.549091996067645,72.35999999999999,76.03999999999999,72.35999999999999,59.6,57.47222222222223,54.82222222222223,54.82222222222223,7.788726279006976,17.22175759703724,54.82222222222223,54.82222222222223,25.30244047992401,49.72333099099925,72.35999999999999
12,54.82222222222223,72.35999999999999,13.328305273966432,72.35999999999999,100.0,16.549091996067645,72.35999999999999,76.03999999999999,72.35999999999999,59.6,57.47222222222223,54.82222222222223,54.82222222222223,7.788726279006976,17.22175759703724,54.82222222222223,54.82222222222223,25.30244047992401,54.72333099099925,72.35999999999999
13,54.82222222222223,72.35999999999999,13.328305273966432,72.35999999999999,100.0,16.549091996067645,72.35999999999999,76.03999999999999,72.35999999999999,59.6,57.47222222222223,54.82222222222223,54.82222222222223,7.788726279006976,17.22175759703724,54.82222222222223,54.82222222222223,25.30244047992401,54.72333099099925,72.35999999999999
14,54.82222222222223,72.35999999999999,17.328305273966432,72.35999999999999,100.0,16.549091996067645,72.35999999999999,76.03999999999999,72.35999999999999,59.6,57.47222222222223,54.82222222222223,54.82222222222223,7.788726279006976,17.22175759703724,59.82222222222223,54.82222222222223,25.30244047992401,54.72333099099925,72.35999999999999
15,54.82222222222223,72.35999999999999,17.328305273966432,72.35999999999999,100.0,16.549091996067645,72.35999999999999,76.03999999999999,72.35999999999999,59.6,57.47222222222223,54.82222222222223,54.82222222222223,7.788726279006976,17.22175759703724,59.82222222222223,54.82222222222223,25.30244047992401,54.72333099099925,72.35999999999999
16,54.82222222222223,72.35999999999999,17.328305273966432,72.35999999999999,100.0,16.549091996067645,72.35999999999999,85.03999999999999,72.35999999999999,59.6,57.47222222222223,54.82222222222223,54.82222222222223,7.788726279006976,17.22175759703724,59.82222222222223,54.82222222222223,25.30244047992401,54.72333099099925,72.35999999999999
17,54.82222222222223,72.35999999999999,17.328305273966432,72.35999999999999,100.0,16.549091996067645,72.35999999999999,85.03999999999999,72.35999999999999,59.6,57.47222222222223,54.82222222222223,54.82222222222223,7.788726279006976,17.22175759703724,59.82222222222223,54.82222222222223,25.30244047992401,54.72333099099925,72.35999999999999
18,54.82222222222223,72.35999999999999,17.328305273966432,72.35999999999999,100.0,16.549091996067645,72.35999999999999,85.03999999999999,72.35999999999999,59.6,57.47222222222223,54.82222222222223,58.82222222222223,7.788726279006976,17.22175759703724,64.82222222222222,54.82222222222223,25.30244047992401,54.72333099099925,72.35999999999999
19,16.347789111900127,72.35999999999999,17.328305273966432,72.35999999999999,100.0,16.549091996067645,72.35999999999999,85.03999999999999,72.35999999999999,59.6,57.47222222222223,54.82222222222223,58.82222222222223,7.788726279006976,17.22175759703724,64.82222222222222,54.82222222222223,25.30244047992401,25.39242368324988,72.35999999999999
20,24.483789111900126,80.49599999999998,25.46430527396643,80.49599999999998,,16.549091996067645,80.49599999999998,85.03999999999999,75.0,67.736,57.47222222222223,62.95822222222223,58.82222222222223,15.924726279006975,26.22175759703724,64.82222222222222,54.82222222222223,25.30244047992401,30.39242368324988,80.49599999999998
